('GAIA/GAIA3.Gbp', 'Value', 'Jy', '5035.7502754443', '2157.5049836097', '1.1103772593006023')
('GAIA/GAIA3.G', 'Value', 'Jy', '5822.3887136979', '4052.9683037357', '0.9038786989268854')
('GAIA/GAIA3.Grp', 'Value', 'Jy', '7619.9599926215', '2924.4362576966', '0.5996680415563764')
('Hipparcos/Hipparcos.Hp_MvB', 'Value', 'Jy', '5586.0', '2405.6922033101', '0.9569406937310104')
('TYCHO/TYCHO.B_MvB', 'Value', 'Jy', '4220.0', '741.38613610869', '1.3607253583140135')
('TYCHO/TYCHO.V_MvB', 'Value', 'Jy', '5350.0', '1133.5568319306', '1.0172628209379844')
('PAN-STARRS/PS1.g', 'Value', 'Jy', '4810.883141308', '1053.0828083655', '1.1825420554106203')
('PAN-STARRS/PS1.r', 'Value', 'Jy', '6156.3564291844', '1252.4103554631', '0.8358434232959162')
('PAN-STARRS/PS1.i', 'Value', 'Jy', '7503.6764467665', '1206.6319680108', '0.6150397996074124')
('PAN-STARRS/PS1.z', 'Value', 'Jy', '8668.5619290591', '997.71027145765', '0.48236579717406636')
('PAN-STARRS/PS1.y', 'Value', 'Jy', '9613.4544956085', '638.99310394377', '0.4032371521403791')
('SLOAN/SDSS.u', 'Value', 'Jy', '3608.0403153219', '540.97112586776', '1.5436342580731015')
('SLOAN/SDSS.g', 'Value', 'Jy', '4671.7822137652', '1064.6831251069', '1.227166526492581')
('SLOAN/SDSS.r', 'Value', 'Jy', '6141.1230039377', '1055.5126512194', '0.8388260369861025')
('SLOAN/SDSS.i', 'Value', 'Jy', '7457.889035897', '1102.565344818', '0.6212377101268327')
('SLOAN/SDSS.z', 'Value', 'Jy', '8922.7797236408', '1164.0149198605', '0.4589320917557485')
('Skymapper/Skymapper.u', 'Value', 'Jy', '3498.1528728747', '425.25264516129', '1.580968506234225')
('Skymapper/Skymapper.v', 'Value', 'Jy', '3870.924588194', '318.8', '1.4614220561958524')
('Skymapper/Skymapper.g', 'Value', 'Jy', '4968.4587992996', '1477.4871', '1.1317128776524823')
('Skymapper/Skymapper.r', 'Value', 'Jy', '6040.0724488558', '1523.3312952005', '0.858890600736337')
('Skymapper/Skymapper.i', 'Value', 'Jy', '7712.9457077529', '1201.5860055098', '0.5877479144632987')
('Skymapper/Skymapper.z', 'Value', 'Jy', '9091.4981925418', '1112.8222149659', '0.44429984444636916')
('GALEX/GALEX.FUV', 'Value', 'Jy', '1549.0192991969', '265.56616531096', '2.5479579233803236')
('GALEX/GALEX.NUV', 'Value', 'Jy', '2304.7376448479', '768.31342963301', '2.7812154258073605')
('Generic/Johnson_UBVRIJHKL.U', 'Value', 'Jy', '3570.6473096123', '657.0', '1.5560876893350266')
('Generic/Johnson_UBVRIJHKL.B', 'Value', 'Jy', '4378.3807583069', '1011.7021276596', '1.3155675715322954')
('Generic/Johnson_UBVRIJHKL.V', 'Value', 'Jy', '5466.1139959554', '889.65396825397', '0.9864632077720379')
('Generic/Johnson_UBVRIJHKL.R', 'Value', 'Jy', '6695.5844650275', '2069.9685925926', '0.7374586866063586')
('Generic/Johnson_UBVRIJHKL.I', 'Value', 'Jy', '8565.1440518845', '2315.9969886621', '0.4924032373778576')
('Generic/Johnson_UBVRIJHKL.J', 'Value', 'Jy', '12100.904356028', '3193.5483870968', '0.2711102369610883')
('Generic/Johnson_UBVRIJHKL.H', 'Value', 'Jy', '16303.578563585', '2862.6263568148', '0.16857823537227418')
('Generic/Johnson_UBVRIJHKL.K', 'Value', 'Jy', '21420.344090938', '5784.8362666667', '0.1136919502322592')
('Generic/Johnson_UBVRIJHKL.LI', 'Value', 'Jy', '34450.156249268', '8799.98', '0.06394113950685076')
('Generic/Johnson_UBVRIJHKL.M', 'Value', 'Jy', '48906.067815836', '11280.00104', '0.06394113950685076')
